,jurisdicción,región,año,mes,focosCalor,hectareas,incendiosReportados
0,Buenos Aires,Pampeana,2017,1,2844,0,37
1,Buenos Aires,Pampeana,2017,2,672,0,37
2,Buenos Aires,Pampeana,2017,3,597,0,37
3,Buenos Aires,Pampeana,2017,4,494,0,37
4,Buenos Aires,Pampeana,2017,5,353,0,37
5,Buenos Aires,Pampeana,2017,6,415,0,37
6,Buenos Aires,Pampeana,2017,7,449,0,37
7,Buenos Aires,Pampeana,2017,8,564,0,37
8,Buenos Aires,Pampeana,2017,9,603,0,37
9,Buenos Aires,Pampeana,2017,10,481,0,37
10,Buenos Aires,Pampeana,2017,11,465,0,37
11,Buenos Aires,Pampeana,2017,12,580,0,37
12,Catamarca,NOA,2017,1,79,0,167
13,Catamarca,NOA,2017,2,65,0,167
14,Catamarca,NOA,2017,3,6,0,167
15,Catamarca,NOA,2017,4,21,0,167
16,Catamarca,NOA,2017,5,31,0,167
17,Catamarca,NOA,2017,6,24,0,167
18,Catamarca,NOA,2017,7,77,0,167
19,Catamarca,NOA,2017,8,201,0,167
20,Catamarca,NOA,2017,9,180,0,167
21,Catamarca,NOA,2017,10,424,0,167
22,Catamarca,NOA,2017,11,1749,0,167
23,Catamarca,NOA,2017,12,31,0,167
24,Chaco,Norte,2017,1,204,0,18
25,Chaco,Norte,2017,2,204,0,18
26,Chaco,Norte,2017,3,103,0,18
27,Chaco,Norte,2017,4,47,0,18
28,Chaco,Norte,2017,5,31,0,18
29,Chaco,Norte,2017,6,224,0,18
30,Chaco,Norte,2017,7,4155,0,18
31,Chaco,Norte,2017,8,5111,0,18
32,Chaco,Norte,2017,9,1933,0,18
33,Chaco,Norte,2017,10,1739,0,18
34,Chaco,Norte,2017,11,1753,0,18
35,Chaco,Norte,2017,12,1952,0,18
36,Chubut,Pampeana,2017,1,65,0,30
37,Chubut,Pampeana,2017,2,39,0,30
38,Chubut,Pampeana,2017,3,5,0,30
39,Chubut,Pampeana,2017,4,7,0,30
40,Chubut,Pampeana,2017,5,7,0,30
41,Chubut,Pampeana,2017,6,3,0,30
42,Chubut,Pampeana,2017,7,5,0,30
43,Chubut,Pampeana,2017,8,4,0,30
44,Chubut,Pampeana,2017,9,6,0,30
45,Chubut,Pampeana,2017,10,4,0,30
46,Chubut,Pampeana,2017,11,21,0,30
47,Chubut,Pampeana,2017,12,53,0,30
48,CABA,Pampeana,2017,1,0,0,0
49,CABA,Pampeana,2017,2,0,0,0
50,CABA,Pampeana,2017,3,0,0,0
51,CABA,Pampeana,2017,4,0,0,0
52,CABA,Pampeana,2017,5,0,0,0
53,CABA,Pampeana,2017,6,0,0,0
54,CABA,Pampeana,2017,7,0,0,0
55,CABA,Pampeana,2017,8,0,0,0
56,CABA,Pampeana,2017,9,0,0,0
57,CABA,Pampeana,2017,10,0,0,0
58,CABA,Pampeana,2017,11,0,0,0
59,CABA,Pampeana,2017,12,0,0,0
60,Corrientes,NEA,2017,1,150,0,8
61,Corrientes,NEA,2017,2,165,0,8
62,Corrientes,NEA,2017,3,299,0,8
63,Corrientes,NEA,2017,4,310,0,8
64,Corrientes,NEA,2017,5,96,0,8
65,Corrientes,NEA,2017,6,370,0,8
66,Corrientes,NEA,2017,7,3397,0,8
67,Corrientes,NEA,2017,8,3392,0,8
68,Corrientes,NEA,2017,9,576,0,8
69,Corrientes,NEA,2017,10,442,0,8
70,Corrientes,NEA,2017,11,774,0,8
71,Corrientes,NEA,2017,12,1172,0,8
72,Córdoba,Centro,2017,1,84,0,56
73,Córdoba,Centro,2017,2,56,0,56
74,Córdoba,Centro,2017,3,87,0,56
75,Córdoba,Centro,2017,4,98,0,56
76,Córdoba,Centro,2017,5,81,0,56
77,Córdoba,Centro,2017,6,209,0,56
78,Córdoba,Centro,2017,7,614,0,56
79,Córdoba,Centro,2017,8,843,0,56
80,Córdoba,Centro,2017,9,565,0,56
81,Córdoba,Centro,2017,10,621,0,56
82,Córdoba,Centro,2017,11,1286,0,56
83,Córdoba,Centro,2017,12,194,0,56
84,Entre Ríos,NEA,2017,1,44,0,s/d
