,jurisdicción,región,año,mes,focosCalor,hectareas
0,Buenos Aires,Pampeana,2017,1,2844,0
1,Buenos Aires,Pampeana,2017,2,672,0
2,Buenos Aires,Pampeana,2017,3,597,0
3,Buenos Aires,Pampeana,2017,4,494,0
4,Buenos Aires,Pampeana,2017,5,353,0
5,Buenos Aires,Pampeana,2017,6,415,0
6,Buenos Aires,Pampeana,2017,7,449,0
7,Buenos Aires,Pampeana,2017,8,564,0
8,Buenos Aires,Pampeana,2017,9,603,0
9,Buenos Aires,Pampeana,2017,10,481,0
10,Buenos Aires,Pampeana,2017,11,465,0
11,Buenos Aires,Pampeana,2017,12,580,0
12,Catamarca,NOA,2017,1,79,0
13,Catamarca,NOA,2017,2,65,0
14,Catamarca,NOA,2017,3,6,0
15,Catamarca,NOA,2017,4,21,0
16,Catamarca,NOA,2017,5,31,0
17,Catamarca,NOA,2017,6,24,0
18,Catamarca,NOA,2017,7,77,0
19,Catamarca,NOA,2017,8,201,0
20,Catamarca,NOA,2017,9,180,0
21,Catamarca,NOA,2017,10,424,0
22,Catamarca,NOA,2017,11,1749,0
23,Catamarca,NOA,2017,12,31,0
24,Chaco,Norte,2017,1,204,0
25,Chaco,Norte,2017,2,204,0
26,Chaco,Norte,2017,3,103,0
27,Chaco,Norte,2017,4,47,0
28,Chaco,Norte,2017,5,31,0
29,Chaco,Norte,2017,6,224,0
30,Chaco,Norte,2017,7,4155,0
31,Chaco,Norte,2017,8,5111,0
32,Chaco,Norte,2017,9,1933,0
33,Chaco,Norte,2017,10,1739,0
34,Chaco,Norte,2017,11,1753,0
35,Chaco,Norte,2017,12,1952,0
36,Chubut,Pampeana,2017,1,65,0
37,Chubut,Pampeana,2017,2,39,0
38,Chubut,Pampeana,2017,3,5,0
39,Chubut,Pampeana,2017,4,7,0
40,Chubut,Pampeana,2017,5,7,0
41,Chubut,Pampeana,2017,6,3,0
42,Chubut,Pampeana,2017,7,5,0
43,Chubut,Pampeana,2017,8,4,0
44,Chubut,Pampeana,2017,9,6,0
45,Chubut,Pampeana,2017,10,4,0
46,Chubut,Pampeana,2017,11,21,0
47,Chubut,Pampeana,2017,12,53,0
48,CABA,Pampeana,2017,1,0,0
49,CABA,Pampeana,2017,2,0,0
50,CABA,Pampeana,2017,3,0,0
51,CABA,Pampeana,2017,4,0,0
52,CABA,Pampeana,2017,5,0,0
53,CABA,Pampeana,2017,6,0,0
54,CABA,Pampeana,2017,7,0,0
55,CABA,Pampeana,2017,8,0,0
56,CABA,Pampeana,2017,9,0,0
57,CABA,Pampeana,2017,10,0,0
58,CABA,Pampeana,2017,11,0,0
59,CABA,Pampeana,2017,12,0,0
60,Corrientes,NEA,2017,1,150,0
61,Corrientes,NEA,2017,2,165,0
62,Corrientes,NEA,2017,3,299,0
63,Corrientes,NEA,2017,4,310,0
64,Corrientes,NEA,2017,5,96,0
65,Corrientes,NEA,2017,6,370,0
66,Corrientes,NEA,2017,7,3397,0
67,Corrientes,NEA,2017,8,3392,0
68,Corrientes,NEA,2017,9,576,0
69,Corrientes,NEA,2017,10,442,0
70,Corrientes,NEA,2017,11,774,0
71,Corrientes,NEA,2017,12,1172,0
72,Córdoba,Centro,2017,1,84,0
73,Córdoba,Centro,2017,2,56,0
74,Córdoba,Centro,2017,3,87,0
75,Córdoba,Centro,2017,4,98,0
76,Córdoba,Centro,2017,5,81,0
77,Córdoba,Centro,2017,6,209,0
78,Córdoba,Centro,2017,7,614,0
79,Córdoba,Centro,2017,8,843,0
80,Córdoba,Centro,2017,9,565,0
81,Córdoba,Centro,2017,10,621,0
82,Córdoba,Centro,2017,11,1286,0
83,Córdoba,Centro,2017,12,194,0
84,Entre Ríos,NEA,2017,1,44,0
85,Entre Ríos,NEA,2017,2,18,0
86,Entre Ríos,NEA,2017,3,66,0
87,Entre Ríos,NEA,2017,4,137,0
88,Entre Ríos,NEA,2017,5,52,0
89,Entre Ríos,NEA,2017,6,100,0
90,Entre Ríos,NEA,2017,7,290,0
91,Entre Ríos,NEA,2017,8,180,0
92,Entre Ríos,NEA,2017,9,90,0
93,Entre Ríos,NEA,2017,10,105,0
94,Entre Ríos,NEA,2017,11,236,0
95,Entre Ríos,NEA,2017,12,449,0
96,Formosa,Norte,2017,1,856,0
97,Formosa,Norte,2017,2,428,0
98,Formosa,Norte,2017,3,180,0
99,Formosa,Norte,2017,4,99,0
100,Formosa,Norte,2017,5,7,0
101,Formosa,Norte,2017,6,340,0
102,Formosa,Norte,2017,7,3865,0
103,Formosa,Norte,2017,8,7437,0
104,Formosa,Norte,2017,9,4075,0
105,Formosa,Norte,2017,10,2418,0
106,Formosa,Norte,2017,11,2075,0
107,Formosa,Norte,2017,12,1116,0
108,Jujuy,NOA,2017,1,53,0
109,Jujuy,NOA,2017,2,29,0
110,Jujuy,NOA,2017,3,15,0
111,Jujuy,NOA,2017,4,10,0
112,Jujuy,NOA,2017,5,12,0
113,Jujuy,NOA,2017,6,146,0
114,Jujuy,NOA,2017,7,153,0
115,Jujuy,NOA,2017,8,266,0
116,Jujuy,NOA,2017,9,126,0
117,Jujuy,NOA,2017,10,261,0
118,Jujuy,NOA,2017,11,195,0
119,Jujuy,NOA,2017,12,64,0
120,La Pampa,Pampeana,2017,1,19009,0
121,La Pampa,Pampeana,2017,2,814,0
122,La Pampa,Pampeana,2017,3,741,0
123,La Pampa,Pampeana,2017,4,57,0
124,La Pampa,Pampeana,2017,5,18,0
125,La Pampa,Pampeana,2017,6,46,0
126,La Pampa,Pampeana,2017,7,63,0
127,La Pampa,Pampeana,2017,8,690,0
128,La Pampa,Pampeana,2017,9,336,0
129,La Pampa,Pampeana,2017,10,229,0
130,La Pampa,Pampeana,2017,11,465,0
131,La Pampa,Pampeana,2017,12,1512,0
132,La Rioja,Centro,2017,1,94,0
133,La Rioja,Centro,2017,2,14,0
134,La Rioja,Centro,2017,3,9,0
135,La Rioja,Centro,2017,4,18,0
136,La Rioja,Centro,2017,5,27,0
137,La Rioja,Centro,2017,6,61,0
138,La Rioja,Centro,2017,7,64,0
139,La Rioja,Centro,2017,8,318,0
140,La Rioja,Centro,2017,9,1874,0
