Mes,2017,2018,2019,2020,2021,2022,2023,2024,2025
Enero,183,168,125,125,79,176,253,109,114.0
Febrero,71,134,119,83,58,133,122,340,88.0
Marzo,17,75,58,177,74,33,95,380,4.0
Abril,2,23,20,75,19,54,22,178,
Mayo,4,5,10,92,17,51,19,48,
Junio,15,32,73,100,29,133,36,69,
Julio,31,93,162,242,375,409,118,315,
Agosto,155,280,388,286,780,464,464,541,
Septiembre,109,194,204,191,403,496,360,467,
Octubre,103,84,130,143,316,288,448,153,
Noviembre,121,13,78,130,78,194,180,43,
Diciembre,84,92,136,99,111,226,100,92,
