"jurisdicción";"hectáreas_2017";"hectáreas_2018";"hectáreas_2019";"hectáreas_2020";"hectáreas_2021";"hectáreas_2022";"hectáreas_2023";"hectáreas_2024";"hectáreas_2025"
"Total";"1696572";"1110067";"479897";"984159";"322600";"797222";"500944";"306262.94";"105202"
"Buenos Aires";"52324";"55036";"24714";"4643";"7033";"142";"4523";"525";"25"
"CABA";"0";"s/d";"0";"1";"0";"0";"49";"s/d";"s/d"
"Catamarca";"17385";"7261";"12035";"30612";"11177";"13816";"9417";"5488.78";"1698.8"
"Chaco";"3470";"3896";"3039";"27882";"2687";"12189";"1718";"s/d";"s/d"
"Chubut";"2566";"939";"13289";"6293";"17841";"80294";"18854";"10915.06";"51949.64"
"Córdoba";"34010";"8745";"16602";"153595";"57026";"4246";"24454";"87091.3";"s/d"
"Corrientes";"1443";"21608";"2464";"45374";"8897";"88631";"42881";"21350.99";"1725"
"Entre Ríos";"";"673";"43";"12768";"26192";"3186";"4796";"442";"772"
"Formosa";"5362";"3119";"14336";"30317";"18009";"8207";"30595";"15390.5";"88"
"Jujuy";"1214";"474";"6018";"37805";"6043";"18728";"1757";"2059.27";"1.04"
"La Pampa";"552902";"704125";"154177";"42329";"29738";"119718";"64366";"9040.9";"3569.8"
"La Rioja";"131535";"1514";"2071";"2397";"21138";"36904";"10438";"24335.5";"s/d"
"Mendoza";"419147";"75393";"65022";"33345";"19006";"45038";"108198";"11286.8";"14009.9"
"Misiones";"246";"323";"1049";"2200";"1213";"16050";"42";"107";"1032"
"Neuquén";"5197";"2328";"21614";"25878";"5823";"126";"31";"3141.3";"24118.51"
"Río Negro";"347344";"94805";"99601";"44540";"29635";"30680";"30355";"17048.8";"4586.31"
"Salta";"7062";"1093";"2254";"71870";"4601";"125112";"7012";"11251.78";"s/d"
"San Juan";"20056";"16425";"667";"s/d";"s/d";"1321";"4204";"1087.74";"422.5"
"San Luis";"86842";"100712";"32278";"57199";"49314";"120556";"129186";"70685.53";"0"
"Santa Cruz";"472";"4482";"3845";"302";"2263";"3220";"251";"2.1";"1202"
"Santa Fe";"";"749";"116";"315640";"103";"44138";"136";"s/d";"s/d"
"Santiago del Estero";"7109";"105";"3980";"28978";"1619";"7283";"4232";"42";"s/d"
"Tierra del Fuego";"";"";"189";"1";"9";"8200";"23";"61.97";"1.5"
"Tucumán";"886";"6262";"494";"10190";"3233";"9437";"3426";"14908.62";"s/d"
